,Şəhər,Sürətlər qutusu,Marka,Ötürücü,Model,Yeni,Buraxılış ili,Yürüş,Yerlərin sayı,Ban növü,Sahiblər,Rəng,Hansı bazar üçün yığılıb,Avtosalon,price,Motor,At gücü,Yanacaq,Yüngül lehimli disklər,Mərkəzi qapanma,Dəri salon,Oturacaqların ventilyasiyası,ABS,Park radarı,Ksenon lampalar,Lyuk,Kondisioner,Arxa görüntü kamerası,Yağış sensoru,Oturacaqların isidilməsi,Yan pərdələr
212,Bakı,Avtomat,Hyundai,Ön,Sonata,Xeyr,2021,26000,5,Sedan,1,Göy,Amerika,No,46070.0,2.0,192.0,Hibrid,True,True,True,True,True,True,True,False,True,True,True,True,True
213,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2017,90000,5,Offroader ,0,Qara,Rəsmi diler,Yes,161330.0,5.0,510.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
214,Bakı,Avtomat,BMW,Arxa,750,Xeyr,2005,250000,5,Sedan,3,Qara,Avropa,No,18500.0,5.0,407.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
215,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2013,129000,5,Offroader ,0,Qara,Rəsmi diler,Yes,108630.0,5.0,510.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
216,Bakı,Avtomat,Opel,Ön,Astra,Xeyr,1999,350000,5,"Universal, ",2,Göy,Avropa,No,8000.0,1.6,101.0,Benzin,False,True,False,False,True,False,False,False,True,False,False,False,False
217,Bakı,Reduktor,GAC,Ön,Aion Y Plus,Bəli,2024,0,5,SUV Kupe,0,Ağ,Digər,Yes,36000.0,0.0,136.0,Elektro,True,True,False,False,True,True,False,False,True,True,False,False,False
218,Bakı,Avtomat,Bestune,Ön,T77,Bəli,2024,0,5,Offroader ,0,Ağ,Avropa,Yes,34850.0,1.5,170.0,Benzin,True,True,True,False,True,True,True,True,True,True,True,True,False
219,Bakı,Avtomat,Geely,Tam,Monjaro,Bəli,2024,0,5,Offroader ,0,Ağ,Rəsmi diler,Yes,64900.0,2.0,238.0,Benzin,True,True,True,True,True,True,False,True,True,True,True,True,False
220,Bakı,Avtomat,Mercedes,Tam,GLE 53 4MATIC+,Bəli,2023,0,5,Offroader ,0,Qara,Digər,Yes,215050.0,3.0,435.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,True
221,Bakı,Avtomat,Kia,Ön,Cerato,Xeyr,2021,31000,5,Sedan,2,Göy,Amerika,No,28800.0,2.0,150.0,Benzin,True,True,False,False,True,True,True,False,True,True,True,True,True
222,Bakı,Avtomat,BMW,Tam,X5,Xeyr,2017,202400,5,Offroader ,1,Qara,Amerika,No,60350.0,2.0,313.0,Plug-in Hibrid,False,False,False,False,False,False,False,False,False,False,False,False,False
223,Bakı,Avtomat,Hyundai,Ön,Tucson,Xeyr,2016,113000,5,Offroader ,1,Ağ,Digər,No,28900.0,2.0,150.0,Benzin,False,False,False,False,False,False,False,False,False,False,False,False,False
224,Bakı,Avtomat,Mercedes,Arxa,E 300 de,Xeyr,2020,104000,4,Sedan,2,Gümüşü,Avropa,No,84830.0,2.0,320.0,Plug-in Hibrid,False,True,True,False,True,True,True,True,True,True,True,True,False
225,Bakı,Variator,Toyota,Ön,Prius,Xeyr,2008,392680,4,Liftbek,1,Qara,Amerika,No,12000.0,1.5,76.0,Hibrid,True,True,True,False,True,False,True,False,True,True,False,False,False
226,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2016,180000,5,Offroader ,2,Gümüşü,Amerika,No,70550.0,3.0,340.0,Benzin,True,True,True,True,True,True,True,False,True,True,True,True,True
239,Bakı,Avtomat,Land Rover,Tam,Range Rover,Xeyr,2016,119000,5,Offroader ,0,Ağ,Digər,Yes,88230.0,3.0,340.0,Benzin,True,True,True,True,True,True,True,True,True,True,True,True,False
